LOCAL_DATE,MEAN_TEMPERATURE_CALGARY,TOTAL_PRECIPITATION_CALGARY,MEAN_TEMPERATURE_EDMONTON,TOTAL_PRECIPITATION_EDMONTON,MEAN_TEMPERATURE_HALIFAX,TOTAL_PRECIPITATION_HALIFAX,MEAN_TEMPERATURE_MONCTON,TOTAL_PRECIPITATION_MONCTON,MEAN_TEMPERATURE_MONTREAL,TOTAL_PRECIPITATION_MONTREAL,MEAN_TEMPERATURE_OTTAWA,TOTAL_PRECIPITATION_OTTAWA,MEAN_TEMPERATURE_QUEBEC,TOTAL_PRECIPITATION_QUEBEC,MEAN_TEMPERATURE_SASKATOON,TOTAL_PRECIPITATION_SASKATOON,MEAN_TEMPERATURE_STJOHNS,TOTAL_PRECIPITATION_STJOHNS,MEAN_TEMPERATURE_TORONTO,TOTAL_PRECIPITATION_TORONTO,MEAN_TEMPERATURE_VANCOUVER,TOTAL_PRECIPITATION_VANCOUVER,MEAN_TEMPERATURE_WHITEHORSE,TOTAL_PRECIPITATION_WHITEHORSE,MEAN_TEMPERATURE_WINNIPEG,TOTAL_PRECIPITATION_WINNIPEG
01-Jan-1940 00:00:00,-11.4,0.5,,,,,-8.9,0.0,,,-17.0,0.0,,,-25.6,0.0,,,-8.9,0.0,8.9,5.8,,,-20.9,0.0
02-Jan-1940 00:00:00,-12.0,0.5,,,,,-14.5,0.0,,,-16.7,0.5,,,-20.9,0.0,,,-13.1,0.3,9.7,7.1,,,-18.4,0.0
03-Jan-1940 00:00:00,-12.0,1.0,,,,,-11.1,0.0,,,-12.3,0.0,,,-26.4,0.0,,,-6.1,0.0,7.8,1.0,,,-22.0,0.0
04-Jan-1940 00:00:00,-11.4,0.8,,,,,-11.1,0.3,,,-16.4,0.0,,,-32.5,0.0,,,-6.4,0.5,8.1,0.5,,,-20.3,0.0
05-Jan-1940 00:00:00,-13.1,0.5,,,,,-8.1,0.0,,,-19.5,0.0,,,-26.2,0.0,,,-7.2,16.5,7.0,0.8,,,-18.7,0.0
06-Jan-1940 00:00:00,-9.8,0.0,,,,,-11.4,3.8,,,-14.2,0.0,,,-17.5,0.0,,,-10.3,0.0,5.0,0.0,,,-18.6,0.0
07-Jan-1940 00:00:00,-11.4,0.0,,,,,-14.2,0.0,,,-20.6,0.0,,,-15.3,0.0,,,-18.1,0.0,1.4,0.0,,,-14.8,0.0
08-Jan-1940 00:00:00,-11.1,1.0,,,,,-17.2,0.0,,,-17.2,0.0,,,-13.1,2.5,,,-14.5,0.0,1.2,0.0,,,-11.9,0.8
09-Jan-1940 00:00:00,-15.6,0.0,,,,,-13.7,0.3,,,-18.4,0.0,,,-12.8,0.3,,,-13.3,0.3,2.2,3.3,,,-12.8,0.5
10-Jan-1940 00:00:00,-10.6,1.3,,,,,-15.3,0.0,,,-14.2,0.3,,,-18.4,0.0,,,-9.2,0.0,2.5,0.0,,,-10.9,0.8
11-Jan-1940 00:00:00,-10.9,0.0,,,,,-10.0,0.0,,,-9.7,2.5,,,-15.9,0.0,,,-5.3,2.0,0.6,3.8,,,-11.4,0.3
12-Jan-1940 00:00:00,-10.9,0.0,,,,,-10.3,0.0,,,-4.5,5.1,,,-14.5,0.0,,,0.0,0.0,-1.7,0.0,,,-15.0,0.0
13-Jan-1940 00:00:00,-5.3,0.0,,,,,-3.4,0.5,,,0.0,0.0,,,-10.6,6.4,,,0.3,0.0,2.5,0.0,,,-14.5,0.0
14-Jan-1940 00:00:00,-19.2,0.3,,,,,-5.0,0.0,,,-2.0,7.6,,,-29.5,1.3,,,2.8,24.4,3.1,0.0,,,-15.6,0.5
15-Jan-1940 00:00:00,-22.5,0.0,,,,,-2.5,0.5,,,-0.3,1.3,,,-30.8,0.5,,,-2.2,1.3,3.1,19.8,,,-28.9,0.0
16-Jan-1940 00:00:00,-19.7,0.0,,,,,-5.3,0.0,,,-20.6,0.0,,,-28.4,0.0,,,-14.7,0.0,4.5,8.6,,,-25.9,0.0
17-Jan-1940 00:00:00,-18.1,0.0,,,,,-20.8,0.0,,,-24.5,0.0,,,-25.6,2.5,,,-17.5,0.0,2.5,0.0,,,-27.3,0.3
18-Jan-1940 00:00:00,-17.8,0.0,,,,,-18.4,0.0,,,-18.1,0.0,,,-21.4,0.0,,,-12.5,0.0,6.4,0.0,,,-20.6,0.5
19-Jan-1940 00:00:00,-12.8,0.3,,,,,-13.7,0.0,,,-12.2,0.0,,,-18.1,0.0,,,-14.7,0.0,2.5,0.0,,,-16.1,0.0
20-Jan-1940 00:00:00,-17.3,0.0,,,,,-14.2,0.0,,,-13.3,2.5,,,-18.9,0.0,,,-10.6,0.0,4.2,0.0,,,-12.5,0.3
21-Jan-1940 00:00:00,-11.4,0.0,,,,,-13.1,5.6,,,-11.7,1.8,,,-17.5,0.0,,,-5.6,0.3,4.2,0.0,,,-11.7,0.0
22-Jan-1940 00:00:00,-16.7,0.0,,,,,-11.7,0.3,,,-16.7,0.0,,,-21.7,0.0,,,-6.7,1.3,0.9,0.0,,,-12.8,1.3
23-Jan-1940 00:00:00,-21.1,0.0,,,,,-11.7,0.0,,,-21.2,0.0,,,-23.9,0.0,,,-10.0,0.0,3.4,0.0,,,-18.7,0.0
24-Jan-1940 00:00:00,-22.2,0.0,,,,,-11.9,0.0,,,-17.0,1.3,,,-21.7,0.0,,,-10.8,0.5,3.3,2.0,,,-21.4,0.5
25-Jan-1940 00:00:00,-24.5,0.0,,,,,-5.0,14.0,,,-13.1,0.8,,,-25.3,0.0,,,-9.2,0.0,1.9,0.0,,,-18.1,0.0
26-Jan-1940 00:00:00,-10.6,0.0,,,,,-6.1,0.0,,,-16.7,0.0,,,-21.7,0.0,,,-13.9,0.0,5.6,9.4,,,-17.2,0.0
27-Jan-1940 00:00:00,2.2,0.0,,,,,-10.3,0.8,,,-16.4,0.0,,,-11.4,0.0,,,-16.4,0.0,8.7,26.2,,,-13.9,0.0
28-Jan-1940 00:00:00,7.3,0.0,,,,,-10.6,0.3,,,-16.7,0.0,,,-12.2,0.0,,,-9.2,1.0,9.5,14.7,,,-12.3,0.0
29-Jan-1940 00:00:00,4.2,0.0,,,,,-7.3,0.0,,,-19.5,0.0,,,-3.4,0.0,,,-5.6,0.0,10.0,0.0,,,-15.8,0.0
30-Jan-1940 00:00:00,0.6,0.0,,,,,-7.5,0.0,,,-16.1,0.0,,,-0.8,0.0,,,-12.0,0.0,4.7,0.0,,,-5.3,1.8
31-Jan-1940 00:00:00,-4.2,0.0,,,,,-11.7,0.0,,,-12.3,0.0,,,-9.8,0.0,,,-10.0,0.0,4.7,0.0,,,-8.1,6.4
01-Feb-1940 00:00:00,-10.6,0.3,,,,,-7.0,0.0,,,-13.6,2.0,,,-13.4,0.0,,,-7.0,5.1,2.8,0.0,,,-10.3,0.0
02-Feb-1940 00:00:00,-11.4,0.3,,,,,-11.2,0.0,,,-14.2,0.0,,,-12.0,0.3,,,-12.0,0.0,2.2,0.0,,,-15.0,0.0
03-Feb-1940 00:00:00,-12.5,0.3,,,,,-14.4,1.3,,,-12.0,0.0,,,-8.9,0.3,,,-5.0,0.0,3.6,2.3,,,-8.9,3.0
04-Feb-1940 00:00:00,-11.7,0.0,,,,,-14.2,0.0,,,-12.5,0.0,,,-7.0,0.0,,,-2.2,0.0,6.4,9.9,,,-5.9,0.0
05-Feb-1940 00:00:00,-8.9,0.0,,,,,-11.1,0.0,,,-8.9,0.0,,,-9.2,0.3,,,-2.5,0.0,7.5,6.4,,,-5.0,0.5
06-Feb-1940 00:00:00,-8.9,5.6,,,,,-10.9,2.5,,,-7.8,7.9,,,-11.4,0.0,,,-1.1,6.4,7.0,32.0,,,-9.7,0.5
